Participant_ID,age,sex,race,race_text_response,race_combined,hispanic,CTQ_Emotional_Abuse,CTQ_Physical_Abuse,CTQ_Sexual_Abuse,CTQ_Emotional_Neglect,CTQ_Physical_Neglect,CTQ_Total,CTQ_Total_z,CTQ_log,CTQ_log_z,HONOS_total,HONOS_total_z,task_version,number_angrytrials_shown,number_angrytrials_responses,number_surprisedtrials_shown,number_surprisedtrials_responses,number_happytrials_shown,number_happytrials_responses,total_missedresponses,Percent_Angry_Correct,Percent_Happy_Correct,Percent_Happy_Incorrect,Percent_Surprised_Negative,Percent_Surprised_Positive,angry_rt_average,angry_rt_sd,happy_rt_average,happy_rt_sd,surprised_rt_average,surprised_rt_sd,unambiguous_rt_average,unambiguous_rt_sd,all_positive_rating_rt_sd,all_negative_rating_rt_sd,surprised_positive_rating_rt_sd,surprised_negative_rating_rt_sd,overall_rt_average,overall_rt_sd,Percent_Surprised_Negative_Z,AO_SUR_average_amy_R_Thr50_fisher_z,HO_SUR_average_amy_R_Thr50_fisher_z,AO_HO_average_amy_R_Thr50_fisher_z,AO_SUR_average_amy_L_Thr50_fisher_z,HO_SUR_average_amy_L_Thr50_fisher_z,AO_HO_average_amy_L_Thr50_fisher_z,AO_SUR_average_accumbens_R_Thr25_fisher_z,HO_SUR_average_accumbens_R_Thr25_fisher_z,AO_HO_average_accumbens_R_Thr25_fisher_z,AO_SUR_average_accumbens_L_Thr25_fisher_z,HO_SUR_average_accumbens_L_Thr25_fisher_z,AO_HO_average_accumbens_L_Thr25_fisher_z,AO_SUR_average_anteriorinsula_R_xu2021_fisher_z,HO_SUR_average_anteriorinsula_R_xu2021_fisher_z,AO_HO_average_anteriorinsula_R_xu2021_fisher_z,AO_SUR_average_anteriorinsula_L_xu2021_fisher_z,HO_SUR_average_anteriorinsula_L_xu2021_fisher_z,AO_HO_average_anteriorinsula_L_xu2021_fisher_z,AO_SUR_average_vmpfc_R_xu2021_fisher_z,HO_SUR_average_vmpfc_R_xu2021_fisher_z,AO_HO_average_vmpfc_R_xu2021_fisher_z,AO_SUR_average_vmpfc_L_xu2021_fisher_z,HO_SUR_average_vmpfc_L_xu2021_fisher_z,AO_HO_average_vmpfc_L_xu2021_fisher_z,AO_SUR_average_V1_R_Thr75_fisher_z,HO_SUR_average_V1_R_Thr75_fisher_z,AO_HO_average_V1_R_Thr75_fisher_z,AO_SUR_average_V1_L_Thr75_fisher_z,HO_SUR_average_V1_L_Thr75_fisher_z,AO_HO_average_V1_L_Thr75_fisher_z,number_voxels_amy_R_Thr50_average,number_voxels_amy_L_Thr50_average,number_voxels_accumbens_R_Thr25_average,number_voxels_accumbens_L_Thr25_average,number_voxels_anteriorinsula_R_xu2021_average,number_voxels_anteriorinsula_L_xu2021_average,number_voxels_vmpfc_R_xu2021_average,number_voxels_vmpfc_L_xu2021_average,number_voxels_V1_R_Thr75_average,number_voxels_V1_L_Thr75_average,rt_difference_surprised_vs_angry,rt_difference_surprised_vs_happy,univariate_angry_response_V1_L_Thr75_smoothed,univariate_surprised_response_V1_L_Thr75_smoothed,univariate_happy_response_V1_L_Thr75_smoothed,univariate_angry_response_V1_R_Thr75_smoothed,univariate_surprised_response_V1_R_Thr75_smoothed,univariate_happy_response_V1_R_Thr75_smoothed,univariate_angry_response_accumbens_L_Thr25_smoothed,univariate_surprised_response_accumbens_L_Thr25_smoothed,univariate_happy_response_accumbens_L_Thr25_smoothed,univariate_angry_response_accumbens_R_Thr25_smoothed,univariate_surprised_response_accumbens_R_Thr25_smoothed,univariate_happy_response_accumbens_R_Thr25_smoothed,univariate_angry_response_amy_L_Thr50_smoothed,univariate_surprised_response_amy_L_Thr50_smoothed,univariate_happy_response_amy_L_Thr50_smoothed,univariate_angry_response_amy_R_Thr50_smoothed,univariate_surprised_response_amy_R_Thr50_smoothed,univariate_happy_response_amy_R_Thr50_smoothed,univariate_angry_response_anteriorinsula_L_xu2021_smoothed,univariate_surprised_response_anteriorinsula_L_xu2021_smoothed,univariate_happy_response_anteriorinsula_L_xu2021_smoothed,univariate_angry_response_anteriorinsula_R_xu2021_smoothed,univariate_surprised_response_anteriorinsula_R_xu2021_smoothed,univariate_happy_response_anteriorinsula_R_xu2021_smoothed,univariate_angry_response_vmpfc_L_xu2021_smoothed,univariate_surprised_response_vmpfc_L_xu2021_smoothed,univariate_happy_response_vmpfc_L_xu2021_smoothed,univariate_angry_response_vmpfc_R_xu2021_smoothed,univariate_surprised_response_vmpfc_R_xu2021_smoothed,univariate_happy_response_vmpfc_R_xu2021_smoothed,angry_rt_average_z,surprised_rt_average_z,happy_rt_average_z,rt_difference_surprised_vs_angry_z,rt_difference_surprised_vs_happy_z
P_001,19,Male,Asian,,Asian,Not Hispanic,12,5,5,21,6,49,0.844675886,3.891820298,0.948406013,19,0.530850903,V2,50,50,100,99,50,50,1,0.88,1,0,0.515151515,0.484848485,0.521872974,0.15052244,0.46584125,0.126950304,0.604090283,0.201807654,0.493857112,0.141363658,0.184885047,0.176225705,0.211484004,0.19154762,0.54869673,0.182215316,-0.623090133,0.549510868,0.354433536,0.329983684,0.510449805,0.357053166,0.390724218,0.532836552,0.261791331,0.320036038,0.444222746,0.277165948,0.270768001,0.470030215,0.428896977,0.443027449,0.488978606,0.442463185,0.434942702,0.462670134,0.228354683,0.35038232,0.499126562,0.254813722,0.369396782,1.020337336,0.931724645,0.973556463,0.912933116,0.821800356,0.99762434,329,276,105.3333333,68.66666667,874.6666667,891.6666667,394,543.6666667,728.6666667,517,0.082217309,0.138249033,4.556123,3.483792,4.92845,1.5601,1.162692,2.226981,0.436602,-0.304652,0.867868,-0.365626,-0.311193,-0.061885,0.163436,-0.491741,-0.187908,-0.140569,-0.20551,-0.195747,-0.367338,-0.300118,-0.147194,-0.072348,-0.364504,-0.078242,0.960518,-0.088647,1.095079,1.12026,-0.362649,1.460723,0.177015213,0.273599669,-0.105933869,0.24119221,0.664268376
P_003,18,Female,Asian,,Asian,Not Hispanic,6,7,14,12,7,46,0.58544032,3.828641396,0.718529854,7,-0.864353776,V2,50,50,100,99,50,50,1,0.88,1,0,0.262626263,0.737373737,0.45186282,0.19980959,0.352101198,0.083708269,0.484010015,0.205820742,0.401982009,0.160442126,0.166262525,0.218196635,0.184475574,0.237655127,0.442789912,0.188490259,-1.931416293,0.493343136,0.413716658,0.327086163,0.443693106,0.405007166,0.314225889,0.453543673,0.354096492,0.206700012,0.409666994,0.358329047,0.262801804,0.42647516,0.439843541,0.300824357,0.428538974,0.411689651,0.30901695,0.392676729,0.216029213,0.267172332,0.31292023,0.217880542,0.329353937,0.569473071,0.579920533,0.498413686,0.568422542,0.574036284,0.54193658,306.3333333,242.3333333,177.3333333,187.3333333,899.6666667,805,396.3333333,387,485.6666667,597,0.032147195,0.131908817,-0.516569,-0.4519,-1.154198,-0.427284,-0.415671,-0.885204,-0.898835,-0.748492,-0.889401,-0.388002,-0.781497,-0.113242,-0.139923,0.054509,0.378167,0.246943,0.019783,0.33606,-0.650021,-0.478626,-0.909066,-0.557015,-0.543043,-0.741589,-0.438219,-0.980741,-0.117707,-0.703356,-1.652402,-0.037217,-0.500783118,-0.776900742,-1.263469206,-0.688446916,0.563231073
P_007,18,Female,Caucasian/White,,Caucasian/White,Hispanic,9,8,10,8,7,42,0.239792899,3.737669618,0.387529435,12,-0.283018493,V2,50,49,100,100,50,50,1,0.979591837,1,0,0.8,0.2,0.477110071,0.107204964,0.481349304,0.208031782,0.490416194,0.15412164,0.479251098,0.165143353,0.189237983,0.139430597,0.117584123,0.1573488,0.484861699,0.159394122,0.852701776,0.294325751,0.501841854,0.345387705,0.348843743,0.482300292,0.355576122,0.240756424,0.394344695,0.292676937,0.416392262,0.432201726,0.410810712,0.368850495,0.462808906,0.348551426,0.348547149,0.502398439,0.386482089,0.313169943,0.280165565,0.255681859,0.345117276,0.28670609,0.258945567,0.349387261,0.492924581,0.526898011,0.521927637,0.6551817,0.732434625,279.6666667,232.6666667,115,99.66666667,846.3333333,907,394.6666667,435,634,573.3333333,0.013306123,0.00906689,0.454143,0.965683,1.005247,0.71061,0.429508,1.579616,-0.594963,0.012071,0.382071,-0.773779,-0.391352,-0.341241,-0.157739,0.118404,0.452073,0.123006,0.453281,0.649489,-0.100594,-0.093837,-0.414503,0.162334,-0.251669,-0.330744,0.15334,-0.259117,-0.358498,-0.386795,-0.059089,-0.424766,-0.256353652,-0.720857449,0.051891982,-1.038264328,-1.394370534
P_009,18,Female,Asian,,Asian,Not Hispanic,6,10,5,6,9,36,-0.278678234,3.583518938,-0.173347143,0,-1.678223172,V2,50,50,100,95,50,50,5,1,1,0,0.663157895,0.336842105,0.55609306,0.195030126,0.455745636,0.120567002,0.683150606,0.27275268,0.505919348,0.169008534,0.194736809,0.266461915,0.209261347,0.301488448,0.592262782,0.241890518,0.143726716,0.415581784,0.47890604,0.496912519,0.362422054,0.407524831,0.353925362,0.319309213,0.311971457,0.331904208,0.420648061,0.293942448,0.400397979,0.394845133,0.365708469,0.417559839,0.35972404,0.374230761,0.399515019,0.246252194,0.337674141,0.383624844,0.226560116,0.328774901,0.40138259,0.859523631,0.88774364,0.913725589,1.034132634,0.997837819,1.018715749,309.6666667,256.6666667,86,75.33333333,937.3333333,1012.333333,388,502,662.6666667,615.6666667,0.127057546,0.22740497,2.604987,2.083578,3.916131,2.705137,1.849011,3.940629,0.844032,0.337067,0.594233,0.820988,0.207197,0.853616,0.208822,-0.040498,0.585336,0.193348,-0.22012,0.983678,0.546389,0.395806,1.698144,0.378788,0.284133,1.207542,0.078147,-0.792369,0.730155,0.002321,-0.881014,0.846569,0.508314545,0.965244543,-0.208677183,1.073729533,2.08505206
P_010,18,Female,Caucasian/White,,Caucasian/White,Not Hispanic,9,5,5,12,7,38,-0.105854523,3.63758616,0.023376207,17,0.29831679,V1,50,50,100,99,50,48,3,0.94,0.875,0.125,0.787878788,0.212121212,0.660206752,0.228129247,0.519290348,0.239478617,0.632502519,0.272062451,0.591186472,0.243087095,0.226226173,0.270642844,0.230714565,0.283135295,0.611949359,0.258228756,0.78990212,0.325800172,0.417063724,0.375042907,0.320731734,0.371901639,0.253209325,0.340620285,0.480417816,0.275412445,0.395000318,0.439164076,0.316053877,0.382590037,0.172741873,0.208010235,0.317589053,0.184160848,0.268056076,0.508759606,0.427722309,0.401779454,0.543299277,0.410927738,0.453500075,0.544342955,0.473340656,0.552018107,0.387943004,0.307512448,0.369192115,261.6666667,244.3333333,106.6666667,84.33333333,693,761.6666667,337.6666667,428.3333333,567.6666667,571.3333333,-0.027704233,0.113212171,0.898111,1.497911,1.308406,1.064181,1.549142,1.470009,0.082067,-0.002446,-0.171537,-0.227238,0.363743,0.277606,0.349637,0.301897,0.345953,0.597644,0.301829,0.322932,-0.518705,0.012573,0.219136,-0.54793,-0.384551,-0.117767,-1.331551,-0.232839,-0.185981,-0.862901,0.22693,-0.405937,1.516283856,0.522158955,0.43801893,-1.799693221,0.265282439
P_012,19,Male,Caucasian/White,,Caucasian/White,Not Hispanic,7,5,5,13,15,45,0.499028465,3.80666249,0.638559698,20,0.64711796,V1,50,50,100,100,50,50,0,0.98,0.94,0.06,0.69,0.31,0.421529862,0.146421866,0.39764467,0.088504413,0.450647916,0.137012037,0.409587266,0.120964552,0.125206301,0.133886564,0.148363997,0.125703107,0.430117591,0.13054517,0.282794901,0.590352036,0.469549347,0.467732381,0.57589214,0.363588983,0.491339792,0.54144463,0.42274308,0.299035924,0.566172689,0.400932709,0.452923758,0.678313499,0.507442885,0.566983987,0.726685352,0.481640846,0.56175508,0.686229502,0.502846202,0.531341044,0.601944744,0.440865171,0.461569266,0.702293613,0.709327115,0.632165023,0.740043701,0.489081278,0.558604435,302,240.6666667,112.3333333,106,880.6666667,899.6666667,406.6666667,513.3333333,701.3333333,618.3333333,0.029118054,0.053003246,1.755535,2.679763,0.930226,1.716612,2.924838,1.287807,0.133868,0.162306,-0.679682,0.290009,0.175182,-0.688165,0.532133,0.947057,-0.125894,0.569282,0.786041,-0.168406,0.978947,1.012958,-0.042479,1.053518,0.99053,0.227038,0.086628,1.023069,-0.547576,0.26049,1.052064,-0.68164,-0.794449496,-1.068763005,-0.799972159,-0.74468821,-0.694203391
P_015,19,Male,Asian,,Asian,Not Hispanic,10,7,5,16,7,45,0.499028465,3.80666249,0.638559698,22,0.879652073,V2,50,49,100,99,50,49,3,0.816326531,0.87755102,0.12244898,0.484848485,0.515151515,0.586779133,0.222395921,0.569992006,0.195021708,0.611241124,0.201135866,0.578385569,0.208247178,0.21186886,0.197026227,0.233044909,0.157459411,0.594896737,0.204844439,-0.780089272,0.551715078,0.559208277,0.646539184,0.530384418,0.509623879,0.630866579,0.448635996,0.419756346,0.492109413,0.44026563,0.379845596,0.394139924,0.538251588,0.545914343,0.510926063,0.574509926,0.610466895,0.607761242,0.499533313,0.459360461,0.526054361,0.436144773,0.491010845,0.513719894,0.611456766,0.561977778,0.655267407,0.620311512,0.53118171,0.649250971,439,383.3333333,214.3333333,212.6666667,1137.666667,1167,448.6666667,510.6666667,808.3333333,637.3333333,0.024461991,0.041249118,2.838351,2.932577,1.686358,3.117727,3.154769,1.965553,-0.692808,0.591995,-0.207999,-0.576791,0.452629,-0.142573,0.425817,0.557553,-0.315495,0.296005,0.236524,-0.139456,-0.020669,-0.037621,-0.082314,0.112124,0.406254,0.116703,1.104501,-0.342378,0.804113,1.031642,-0.441826,0.870394,0.80539958,0.336157503,0.954010964,-0.831136152,-0.881516472
P_018,18,Female,"Caucasian/White,Other (please specify)",,Caucasian/White,Hispanic,5,6,5,5,5,26,-1.142796787,3.258096538,-1.357395131,12,-0.283018493,V1,50,50,100,100,50,48,2,0.98,0.9375,0.0625,0.86,0.14,0.51073634,0.157167882,0.43532189,0.127662273,0.594823791,0.228615649,0.47379865,0.147685128,0.223562723,0.191452234,0.30028992,0.208864338,0.534922459,0.201704163,1.163560072,0.383942406,0.452112599,0.244949907,0.384397496,0.474929171,0.351867592,0.32437792,0.392226565,0.180561078,0.264666836,0.371692571,0.283997124,0.335483345,0.41455458,0.254517624,0.383720189,0.416358972,0.267663801,0.345263984,0.339650382,0.363409237,0.33755186,0.38031641,0.368125108,0.764655746,0.788338318,0.648389881,0.667161736,0.707723973,0.622351987,238.3333333,227,105.3333333,85,810.3333333,783,356.3333333,405,701,562.6666667,0.084087451,0.159501901,0.898052,-0.866201,0.109987,1.683781,0.595581,1.007144,-0.810963,-2.055747,-1.186101,-0.933583,-1.948675,-1.092035,0.641328,-0.703859,-0.052995,1.00127,-0.399395,0.262817,-0.837848,-0.725044,0.039039,-0.701543,-1.094919,-0.095342,0.412376,-1.067143,0.224884,0.955597,-1.332786,0.087784,0.069196683,0.192533447,-0.416530154,0.275914663,1.00295281
P_019,18,Female,Asian,,Asian,Not Hispanic,15,6,6,14,9,50,0.931087741,3.912023005,1.021913476,NA,NA,V2,50,49,100,99,50,50,2,0.93877551,0.9,0.1,0.646464646,0.353535354,0.50706608,0.240605721,0.480521748,0.138686078,0.636527229,0.25923341,0.493659852,0.195319417,0.235291772,0.242858004,0.303155137,0.234233567,0.56509354,0.239868927,0.057239471,0.341520653,0.426794082,0.466684308,0.35882801,0.478281052,0.427121739,0.386588734,0.472073892,0.416065525,0.342469153,0.34240224,0.416234949,0.346873004,0.455281848,0.437998157,0.283123283,0.388506192,0.491520924,0.22569327,0.440644132,0.429036443,0.308132525,0.482326373,0.446932666,0.376913131,0.560117124,0.571612887,0.508883468,0.716783854,0.63834201,336,282,182.6666667,196.6666667,1056.333333,1076.666667,395.6666667,462,849.6666667,523.3333333,0.129461149,0.156005481,0.818891,1.611353,1.065409,0.874637,1.685975,1.131876,0.64593,0.977129,-0.040209,0.23961,0.44911,-0.087593,0.552538,0.735242,0.360658,0.730665,0.301818,0.061396,-0.294351,0.403941,-0.524271,0.039963,0.548742,-0.430264,-0.589784,0.135073,-0.604489,-0.547615,0.093635,-0.773588,0.033663321,0.557368399,0.043469924,1.118356622,0.94723407
P_020,18,Female,Caucasian/White,,Caucasian/White,Not Hispanic,13,5,5,10,6,39,-0.019442667,3.663561646,0.117887901,18,0.414583846,V2,50,50,100,99,50,47,4,0.9,0.957446809,0.042553191,0.535353535,0.464646465,0.459612898,0.209021254,0.42366043,0.142615154,0.55976964,0.224040629,0.44219263,0.179922356,0.186612166,0.231339416,0.206994327,0.235889717,0.501581018,0.211272966,-0.51842404,0.340329435,0.386286871,0.352402881,0.376903794,0.38087929,0.32460869,0.363476128,0.350998191,0.350330111,0.264809171,0.410262941,0.301632532,0.284841927,0.323859066,0.339530546,0.289613218,0.352909742,0.275233243,0.486764763,0.524740953,0.468081662,0.429008381,0.450361242,0.404306732,0.990405443,0.973286956,0.932095331,0.750442714,0.848314603,0.778607471,263,224.3333333,134.3333333,100.3333333,876.6666667,895,384.3333333,445,644.3333333,505.6666667,0.100156742,0.13610921,1.796243,2.735026,3.178666,1.379099,2.334069,2.201454,0.100317,0.343003,0.506459,-0.191803,0.644964,0.144564,0.465196,0.555308,1.393133,0.093596,0.712133,1.265261,0.657757,-0.130799,0.927967,0.617821,-0.060214,0.862347,-0.456915,0.924522,1.423594,-0.409363,0.973128,1.355491,-0.425751289,-0.114131425,-0.535209123,0.574269119,0.630168285
