"Participant_ID","task_version","withinblock_trialnumber","withinparticipant_blocknumber","BlockFileName","ImageFile","Image","TrialType","P_N_response","P_N_response.rt","CTQ_log_z","correct_response","accuracy"
"P_001","V2",0,0,"Block6.csv","Stimuli/AF12_AO.jpg","AF12_angry","angry","N",0.6562446,0.948406013,"N","correct"
"P_001","V2",1,0,"Block6.csv","Stimuli/WF13_SUR.jpg","WF13_surprised","surprised","P",0.2847215,0.948406013,NA,NA
"P_001","V2",2,0,"Block6.csv","Stimuli/WM12_SUR.jpg","WM12_surprised","surprised","P",0.6342209,0.948406013,NA,NA
"P_001","V2",3,0,"Block6.csv","Stimuli/WF06_SUR.jpg","WF06_surprised","surprised","N",0.7185404,0.948406013,NA,NA
"P_001","V2",4,0,"Block6.csv","Stimuli/WF15_SUR.jpg","WF15_surprised","surprised","P",0.4345876,0.948406013,NA,NA
"P_001","V2",5,0,"Block6.csv","Stimuli/BF05_SUR.jpg","BF05_surprised","surprised","P",1.1487964,0.948406013,NA,NA
"P_001","V2",6,0,"Block6.csv","Stimuli/BM11_AO.jpg","BM11_angry","angry","N",0.5345637,0.948406013,"N","correct"
"P_001","V2",7,0,"Block6.csv","Stimuli/WM02_AO.jpg","WM02_angry","angry","N",0.3874989,0.948406013,"N","correct"
"P_001","V2",8,0,"Block6.csv","Stimuli/HM05_SUR.jpg","HM05_surprised","surprised","N",0.6185824,0.948406013,NA,NA
"P_001","V2",9,0,"Block6.csv","Stimuli/AF10_SUR.jpg","AF10_surprised","surprised","P",0.4678993,0.948406013,NA,NA
"P_001","V2",10,0,"Block6.csv","Stimuli/BM15_SUR.jpg","BM15_surprised","surprised","N",0.4346773,0.948406013,NA,NA
"P_001","V2",11,0,"Block6.csv","Stimuli/BM12_HO.jpg","BM12_happy","happy","P",0.4372348,0.948406013,"P","correct"
"P_001","V2",12,0,"Block6.csv","Stimuli/HM08_HO.jpg","HM08_happy","happy","P",0.5174549,0.948406013,"P","correct"
"P_001","V2",13,0,"Block6.csv","Stimuli/BF07_AO.jpg","BF07_angry","angry","P",0.6014535,0.948406013,"N","incorrect"
"P_001","V2",14,0,"Block6.csv","Stimuli/WF11_SUR.jpg","WF11_surprised","surprised","P",0.8346394,0.948406013,NA,NA
"P_001","V2",15,0,"Block6.csv","Stimuli/AM03_HO.jpg","AM03_happy","happy","P",0.4829859,0.948406013,"P","correct"
"P_001","V2",16,0,"Block6.csv","Stimuli/AF02_AO.jpg","AF02_angry","angry","N",0.4848195,0.948406013,"N","correct"
"P_001","V2",17,0,"Block6.csv","Stimuli/BF13_HO.jpg","BF13_happy","happy","P",0.5027532,0.948406013,"P","correct"
"P_001","V2",18,0,"Block6.csv","Stimuli/HM01_SUR.jpg","HM01_surprised","surprised","P",0.352913,0.948406013,NA,NA
"P_001","V2",19,0,"Block6.csv","Stimuli/WM04_HO.jpg","WM04_happy","happy","P",0.3181368,0.948406013,"P","correct"
"P_001","V2",0,1,"Block10.csv","Stimuli/HF08_SUR.jpg","HF08_surprised","surprised","P",0.4522304,0.948406013,NA,NA
"P_001","V2",1,1,"Block10.csv","Stimuli/AM03_AO.jpg","AM03_angry","angry","N",0.5170959,0.948406013,"N","correct"
"P_001","V2",2,1,"Block10.csv","Stimuli/WF03_AO.jpg","WF03_angry","angry","N",0.4180589,0.948406013,"N","correct"
"P_001","V2",3,1,"Block10.csv","Stimuli/BM01_SUR.jpg","BM01_surprised","surprised","P",0.5515072,0.948406013,NA,NA
"P_001","V2",4,1,"Block10.csv","Stimuli/BF09_SUR.jpg","BF09_surprised","surprised","N",0.985378,0.948406013,NA,NA
"P_001","V2",5,1,"Block10.csv","Stimuli/BF19_SUR.jpg","BF19_surprised","surprised","P",0.7182452,0.948406013,NA,NA
"P_001","V2",6,1,"Block10.csv","Stimuli/HF04_HO.jpg","HF04_happy","happy","P",0.4017964,0.948406013,"P","correct"
"P_001","V2",7,1,"Block10.csv","Stimuli/WM08_SUR.jpg","WM08_surprised","surprised","N",0.5493424,0.948406013,NA,NA
"P_001","V2",8,1,"Block10.csv","Stimuli/WM13_HO.jpg","WM13_happy","happy","P",0.3678889,0.948406013,"P","correct"
"P_001","V2",9,1,"Block10.csv","Stimuli/AM09_HO.jpg","AM09_happy","happy","P",0.3856621,0.948406013,"P","correct"
"P_001","V2",10,1,"Block10.csv","Stimuli/BM04_SUR.jpg","BM04_surprised","surprised","N",0.6663854,0.948406013,NA,NA
"P_001","V2",11,1,"Block10.csv","Stimuli/BF12_SUR.jpg","BF12_surprised","surprised","P",0.5028497,0.948406013,NA,NA
"P_001","V2",12,1,"Block10.csv","Stimuli/AM08_AO.jpg","AM08_angry","angry","N",0.8343827,0.948406013,"N","correct"
"P_001","V2",13,1,"Block10.csv","Stimuli/WM10_HO.jpg","WM10_happy","happy","P",0.4689268,0.948406013,"P","correct"
"P_001","V2",14,1,"Block10.csv","Stimuli/AM06_SUR.jpg","AM06_surprised","surprised","N",0.4017236,0.948406013,NA,NA
"P_001","V2",15,1,"Block10.csv","Stimuli/BF16_AO.jpg","BF16_angry","angry","P",0.2667293,0.948406013,"N","incorrect"
"P_001","V2",16,1,"Block10.csv","Stimuli/AM05_SUR.jpg","AM05_surprised","surprised","N",0.6024927,0.948406013,NA,NA
"P_001","V2",17,1,"Block10.csv","Stimuli/WF01_SUR.jpg","WF01_surprised","surprised","N",0.7346847,0.948406013,NA,NA
"P_001","V2",18,1,"Block10.csv","Stimuli/WF04_HO.jpg","WF04_happy","happy","P",0.3692707,0.948406013,"P","correct"
"P_001","V2",19,1,"Block10.csv","Stimuli/HF01_AO.jpg","HF01_angry","angry","N",0.4673957,0.948406013,"N","correct"
"P_001","V2",0,2,"Block2.csv","Stimuli/BF01_HO.jpg","BF01_happy","happy","P",0.6174309,0.948406013,"P","correct"
"P_001","V2",1,2,"Block2.csv","Stimuli/AM01_SUR.jpg","AM01_surprised","surprised","N",0.3975119,0.948406013,NA,NA
"P_001","V2",2,2,"Block2.csv","Stimuli/HF07_HO.jpg","HF07_happy","happy","P",0.4370827,0.948406013,"P","correct"
"P_001","V2",3,2,"Block2.csv","Stimuli/BM01_AO.jpg","BM01_angry","angry","N",0.7390705,0.948406013,"N","correct"
