Participant_ID,region,hemisphere,average_tSNR_value
P_001,accumbens,left,21.777814
P_001,accumbens,right,16.822597
P_001,amygdala,left,20.618854
P_001,amygdala,right,20.757776
P_001,anteriorinsula,left,27.064794
P_001,anteriorinsula,right,28.54102033
P_001,V1,left,41.526086
P_001,V1,right,33.725708
P_001,vmpfc,left,24.79657367
P_001,vmpfc,right,25.72762967
P_003,accumbens,left,23.442114
P_003,accumbens,right,23.20881867
P_003,amygdala,left,19.836375
P_003,amygdala,right,20.25589167
P_003,anteriorinsula,left,29.82870733
P_003,anteriorinsula,right,28.716276
P_003,V1,left,25.41254367
P_003,V1,right,28.69963667
P_003,vmpfc,left,25.993348
P_003,vmpfc,right,29.808578
P_007,accumbens,left,25.218299
P_007,accumbens,right,22.76792933
P_007,amygdala,left,18.53748667
P_007,amygdala,right,19.279193
P_007,anteriorinsula,left,27.93490733
P_007,anteriorinsula,right,29.816094
P_007,V1,left,32.51788867
P_007,V1,right,35.75749067
P_007,vmpfc,left,24.85340433
P_007,vmpfc,right,25.36002733
P_009,accumbens,left,23.52801633
P_009,accumbens,right,22.44514
P_009,amygdala,left,18.64168367
P_009,amygdala,right,20.426131
P_009,anteriorinsula,left,31.13872267
P_009,anteriorinsula,right,31.63572233
P_009,V1,left,30.22685667
P_009,V1,right,41.691178
P_009,vmpfc,left,26.09892667
P_009,vmpfc,right,27.16291433
P_010,accumbens,left,17.78818933
P_010,accumbens,right,18.12045867
P_010,amygdala,left,16.41798033
P_010,amygdala,right,18.312044
P_010,anteriorinsula,left,28.60033167
P_010,anteriorinsula,right,29.956795
P_010,V1,left,30.43038067
P_010,V1,right,42.87009767
P_010,vmpfc,left,19.510789
P_010,vmpfc,right,18.818053
P_012,accumbens,left,20.342043
P_012,accumbens,right,21.81840733
P_012,amygdala,left,17.28826867
P_012,amygdala,right,15.67342733
P_012,anteriorinsula,left,25.89015033
P_012,anteriorinsula,right,27.857048
P_012,V1,left,27.73642167
P_012,V1,right,32.68075667
P_012,vmpfc,left,24.45945833
P_012,vmpfc,right,23.02545267
P_015,accumbens,left,17.23970467
P_015,accumbens,right,16.886089
P_015,amygdala,left,17.209545
P_015,amygdala,right,15.264471
P_015,anteriorinsula,left,25.05192833
P_015,anteriorinsula,right,25.68704333
P_015,V1,left,19.958196
P_015,V1,right,16.53116633
P_015,vmpfc,left,19.65291533
P_015,vmpfc,right,20.65128933
P_018,accumbens,left,25.98502433
P_018,accumbens,right,25.30178467
P_018,amygdala,left,19.01794033
P_018,amygdala,right,21.63653967
P_018,anteriorinsula,left,28.85840467
P_018,anteriorinsula,right,29.029339
P_018,V1,left,39.17070533
P_018,V1,right,38.91831533
P_018,vmpfc,left,26.046266
P_018,vmpfc,right,26.884904
P_019,accumbens,left,26.68460933
P_019,accumbens,right,24.87165233
P_019,amygdala,left,19.21256267
P_019,amygdala,right,21.26442733
P_019,anteriorinsula,left,30.03574933
P_019,anteriorinsula,right,28.763971
P_019,V1,left,24.03481067
P_019,V1,right,23.83285433
P_019,vmpfc,left,30.00471267
P_019,vmpfc,right,28.590384
P_020,accumbens,left,26.64653833
P_020,accumbens,right,23.93670367
P_020,amygdala,left,22.00420933
P_020,amygdala,right,21.72452633
P_020,anteriorinsula,left,31.00013867
P_020,anteriorinsula,right,32.60824067
P_020,V1,left,49.10784433
P_020,V1,right,43.97884367
P_020,vmpfc,left,28.42762567
P_020,vmpfc,right,26.27930633
P_025,accumbens,left,22.31224233
P_025,accumbens,right,21.03333833
P_025,amygdala,left,19.11714533
P_025,amygdala,right,17.01725967
P_025,anteriorinsula,left,33.013587
P_025,anteriorinsula,right,32.28070733
P_025,V1,left,41.089909
P_025,V1,right,36.24062733
P_025,vmpfc,left,27.82598633
P_025,vmpfc,right,26.458033
P_026,accumbens,left,22.93068833
P_026,accumbens,right,24.34571867
P_026,amygdala,left,17.60765667
P_026,amygdala,right,22.783831
P_026,anteriorinsula,left,28.034698
P_026,anteriorinsula,right,28.764652
P_026,V1,left,23.77102567
P_026,V1,right,21.210315
P_026,vmpfc,left,25.251019
P_026,vmpfc,right,26.17476633
P_028,accumbens,left,26.56440533
P_028,accumbens,right,26.00824667
P_028,amygdala,left,17.83159867
P_028,amygdala,right,19.845534
P_028,anteriorinsula,left,27.29658767
P_028,anteriorinsula,right,27.59318467
P_028,V1,left,29.993048
P_028,V1,right,27.86979433
P_028,vmpfc,left,25.214923
P_028,vmpfc,right,28.31474133
P_039,accumbens,left,21.03509433
P_039,accumbens,right,21.44261767
P_039,amygdala,left,15.21634433
P_039,amygdala,right,17.08490467
P_039,anteriorinsula,left,30.97861367
P_039,anteriorinsula,right,29.39106167
P_039,V1,left,20.78810767
P_039,V1,right,25.60298533
P_039,vmpfc,left,30.19597133
P_039,vmpfc,right,31.24541233
P_041,accumbens,left,18.27467667
P_041,accumbens,right,20.375635
P_041,amygdala,left,15.321318
P_041,amygdala,right,14.94102467
P_041,anteriorinsula,left,29.953135
P_041,anteriorinsula,right,32.30492467
P_041,V1,left,27.56380533
P_041,V1,right,24.163946
P_041,vmpfc,left,25.216382
P_041,vmpfc,right,24.37969733
P_044,accumbens,left,23.10669467
P_044,accumbens,right,22.452889
P_044,amygdala,left,17.89449833
P_044,amygdala,right,16.39469367
P_044,anteriorinsula,left,28.28880933
P_044,anteriorinsula,right,29.80840633
P_044,V1,left,23.49952433
P_044,V1,right,31.19339067
P_044,vmpfc,left,30.98983567
P_044,vmpfc,right,32.77967567
P_049,accumbens,left,24.41660233
P_049,accumbens,right,24.59465233
P_049,amygdala,left,19.481221
P_049,amygdala,right,21.303731
P_049,anteriorinsula,left,30.66838267
P_049,anteriorinsula,right,32.58053867
P_049,V1,left,19.62630933
P_049,V1,right,30.96784067
P_049,vmpfc,left,29.86293233
P_049,vmpfc,right,29.47360867
P_050,accumbens,left,23.99412367
P_050,accumbens,right,25.950943
P_050,amygdala,left,21.79948667
P_050,amygdala,right,23.45705933
P_050,anteriorinsula,left,29.65531433
P_050,anteriorinsula,right,31.010785
P_050,V1,left,34.13677433
P_050,V1,right,33.81612
P_050,vmpfc,left,26.82120133
P_050,vmpfc,right,27.77719233
P_052,accumbens,left,28.89397167
P_052,accumbens,right,28.884276
P_052,amygdala,left,26.71479733
P_052,amygdala,right,25.058177
P_052,anteriorinsula,left,36.99926
P_052,anteriorinsula,right,33.171994
P_052,V1,left,30.54817667
P_052,V1,right,33.694455
P_052,vmpfc,left,31.28522333
P_052,vmpfc,right,28.584466
P_054,accumbens,left,24.043422
P_054,accumbens,right,20.35276667
P_054,amygdala,left,16.85848667
P_054,amygdala,right,13.560906
P_054,anteriorinsula,left,31.027882
P_054,anteriorinsula,right,30.85878733
P_054,V1,left,24.487482
P_054,V1,right,24.689832
P_054,vmpfc,left,25.207123
P_054,vmpfc,right,25.08072067
P_056,accumbens,left,24.16287267
P_056,accumbens,right,25.35765067
P_056,amygdala,left,25.240207
P_056,amygdala,right,24.43181433
P_056,anteriorinsula,left,30.63061433
P_056,anteriorinsula,right,31.384658
P_056,V1,left,27.72189233
P_056,V1,right,35.228955
P_056,vmpfc,left,28.323069
P_056,vmpfc,right,29.24744067
P_062,accumbens,left,26.61338833
P_062,accumbens,right,26.32796333
P_062,amygdala,left,21.87524667
P_062,amygdala,right,20.98752233
P_062,anteriorinsula,left,34.038137
P_062,anteriorinsula,right,35.38091267
P_062,V1,left,36.59288933
P_062,V1,right,26.49236333
P_062,vmpfc,left,31.33103
P_062,vmpfc,right,33.02203633
P_063,accumbens,left,22.39366333
P_063,accumbens,right,24.47535767
P_063,amygdala,left,19.74187267
P_063,amygdala,right,19.50426867
P_063,anteriorinsula,left,31.19232167
P_063,anteriorinsula,right,32.02398333
P_063,V1,left,29.308725
P_063,V1,right,39.91100033
P_063,vmpfc,left,26.090263
P_063,vmpfc,right,25.664237
P_064,accumbens,left,25.932991
P_064,accumbens,right,26.08815667
P_064,amygdala,left,21.98249533
P_064,amygdala,right,21.51706833
P_064,anteriorinsula,left,33.46934333
P_064,anteriorinsula,right,34.25595
P_064,V1,left,26.45028533
P_064,V1,right,31.12277533
P_064,vmpfc,left,23.232929
P_064,vmpfc,right,21.560179
P_065,accumbens,left,25.85358267
P_065,accumbens,right,25.94159433
P_065,amygdala,left,22.212277
P_065,amygdala,right,22.223696
P_065,anteriorinsula,left,30.81903
P_065,anteriorinsula,right,33.721925
P_065,V1,left,26.44894633
P_065,V1,right,27.86558
P_065,vmpfc,left,28.13029767
P_065,vmpfc,right,26.71788167
P_067,accumbens,left,21.352553
P_067,accumbens,right,20.89294667
P_067,amygdala,left,16.926528
P_067,amygdala,right,17.50719933
P_067,anteriorinsula,left,29.18142433
P_067,anteriorinsula,right,28.547631
P_067,V1,left,23.918127
P_067,V1,right,35.215949
P_067,vmpfc,left,29.170347
P_067,vmpfc,right,28.20190867
P_068,accumbens,left,18.914091
P_068,accumbens,right,17.90131567
P_068,amygdala,left,19.385677
P_068,amygdala,right,16.92526333
P_068,anteriorinsula,left,28.59114267
P_068,anteriorinsula,right,31.55869867
P_068,V1,left,24.36962333
P_068,V1,right,31.29019933
P_068,vmpfc,left,24.961759
P_068,vmpfc,right,25.085756
P_070,accumbens,left,24.480371
P_070,accumbens,right,21.176145
P_070,amygdala,left,20.044172
P_070,amygdala,right,19.55493733
P_070,anteriorinsula,left,31.772498
P_070,anteriorinsula,right,31.11245633
P_070,V1,left,31.98202967
P_070,V1,right,29.79815233
P_070,vmpfc,left,31.58446233
P_070,vmpfc,right,30.88211467
P_071,accumbens,left,24.50055633
P_071,accumbens,right,24.708017
P_071,amygdala,left,19.07451667
P_071,amygdala,right,19.418224
P_071,anteriorinsula,left,25.85394433
P_071,anteriorinsula,right,27.43665867
P_071,V1,left,18.10291767
P_071,V1,right,23.14130733
P_071,vmpfc,left,28.43210733
P_071,vmpfc,right,27.88611633
P_075,accumbens,left,22.10504833
P_075,accumbens,right,21.94856667
P_075,amygdala,left,16.934168
P_075,amygdala,right,17.12355133
P_075,anteriorinsula,left,32.55564167
P_075,anteriorinsula,right,32.54467667
P_075,V1,left,41.931777
P_075,V1,right,35.87116367
P_075,vmpfc,left,24.884062
P_075,vmpfc,right,26.424464
P_076,accumbens,left,22.923015
P_076,accumbens,right,21.066965
P_076,amygdala,left,19.07721067
P_076,amygdala,right,18.356668
P_076,anteriorinsula,left,30.514468
P_076,anteriorinsula,right,28.17075933
P_076,V1,left,20.34197667
P_076,V1,right,24.48598067
P_076,vmpfc,left,28.15016033
P_076,vmpfc,right,26.12943267
P_078,accumbens,left,25.091483
P_078,accumbens,right,23.50715533
P_078,amygdala,left,19.80422267
P_078,amygdala,right,18.89574433
P_078,anteriorinsula,left,29.83693033
P_078,anteriorinsula,right,31.39361233
P_078,V1,left,29.24200933
P_078,V1,right,23.543733
P_078,vmpfc,left,26.82333533
P_078,vmpfc,right,27.451716
P_079,accumbens,left,25.71178467
P_079,accumbens,right,25.37488867
P_079,amygdala,left,24.04970733
P_079,amygdala,right,22.55177
P_079,anteriorinsula,left,30.01030967
P_079,anteriorinsula,right,30.64165833
P_079,V1,left,45.579005
P_079,V1,right,36.32409867
P_079,vmpfc,left,26.43691533
P_079,vmpfc,right,27.224945
P_080,accumbens,left,21.15988567
P_080,accumbens,right,22.75361033
P_080,amygdala,left,13.94367633
P_080,amygdala,right,17.87185633
P_080,anteriorinsula,left,30.44050533
P_080,anteriorinsula,right,31.90066767
P_080,V1,left,29.60476867
P_080,V1,right,27.78806333
P_080,vmpfc,left,30.400606
P_080,vmpfc,right,29.839462
P_081,accumbens,left,23.355402
P_081,accumbens,right,23.90339333
P_081,amygdala,left,21.897851
P_081,amygdala,right,21.861167
P_081,anteriorinsula,left,29.838982
P_081,anteriorinsula,right,30.15209033
P_081,V1,left,29.505103
P_081,V1,right,28.58531067
P_081,vmpfc,left,24.78128033
P_081,vmpfc,right,25.936746
P_082,accumbens,left,22.99316433
P_082,accumbens,right,21.73117767
P_082,amygdala,left,21.361214
P_082,amygdala,right,20.39090933
P_082,anteriorinsula,left,27.99335867
P_082,anteriorinsula,right,27.34703967
P_082,V1,left,40.43943933
P_082,V1,right,34.150568
P_082,vmpfc,left,23.18833033
P_082,vmpfc,right,27.60931633
P_088,accumbens,left,21.997287
P_088,accumbens,right,23.034681
P_088,amygdala,left,16.244908
P_088,amygdala,right,16.932569
P_088,anteriorinsula,left,30.81666833
P_088,anteriorinsula,right,32.07424533
P_088,V1,left,49.11761433
P_088,V1,right,44.68067067
P_088,vmpfc,left,30.83851133
P_088,vmpfc,right,31.381305
P_092,accumbens,left,20.497451
P_092,accumbens,right,20.80508933
P_092,amygdala,left,16.45705167
P_092,amygdala,right,15.97964067
P_092,anteriorinsula,left,30.78375333
P_092,anteriorinsula,right,30.95928767
P_092,V1,left,37.61231767
P_092,V1,right,29.37912533
P_092,vmpfc,left,28.34141567
P_092,vmpfc,right,26.871216
P_093,accumbens,left,24.16998767
P_093,accumbens,right,22.284673
P_093,amygdala,left,19.11282533
P_093,amygdala,right,16.13253833
P_093,anteriorinsula,left,28.67818167
P_093,anteriorinsula,right,28.154304
P_093,V1,left,24.25658133
P_093,V1,right,21.012502
P_093,vmpfc,left,26.04592833
P_093,vmpfc,right,26.28642
P_099,accumbens,left,24.815151
P_099,accumbens,right,23.09806233
P_099,amygdala,left,23.14973367
P_099,amygdala,right,21.19062733
P_099,anteriorinsula,left,35.68739967
P_099,anteriorinsula,right,34.89402567
P_099,V1,left,26.66596567
P_099,V1,right,35.699889
P_099,vmpfc,left,32.048783
P_099,vmpfc,right,31.06522867
P_101,accumbens,left,25.07887233
P_101,accumbens,right,24.09070933
P_101,amygdala,left,17.721236
P_101,amygdala,right,17.647628
P_101,anteriorinsula,left,27.18976967
P_101,anteriorinsula,right,28.85827333
P_101,V1,left,41.05958433
P_101,V1,right,43.25437933
P_101,vmpfc,left,25.93602033
P_101,vmpfc,right,30.59685667
